house_id,area_sqft,bedrooms,bathrooms,age_years,year_built,condition_score,garage_cars,parking_spots,furnishing_status,location,floor_number,total_floors,price,price_per_sqft,rooms_per_bath,age_category
1,2048.0,4,3.1,39,1985,2,2,2,Fully Furnished,Suburb_B,6,5,390000.0,190.4296875,1.2903225806451613,Old
2,1731.0,5,3.6,76,1948,1,1,2,Unfurnished,Suburb_B,7,1,258900.0,149.56672443674177,1.3888888888888888,Very Old
3,2124.0,2,2.0,53,1971,1,1,1,Semi-Furnished,Greenfield,3,1,315200.0,148.39924670433146,1.0,Very Old
4,2562.0,5,3.9,75,1949,1,2,0,Fully Furnished,Southside,3,1,522600.0,203.98126463700234,1.2820512820512822,Very Old
5,1683.0,3,2.3,32,1992,2,0,1,Semi-Furnished,Downtown,6,3,540700.0,321.27153891859774,1.3043478260869565,Old
6,1683.0,3,2.9,54,1970,1,0,2,Unfurnished,Riverside,7,3,366600.0,217.825311942959,1.0344827586206897,Very Old
7,2590.0,2,1.2,8,2016,4,1,1,Fully Furnished,Southside,1,3,802900.0,310.0,1.6666666666666667,Recent
8,2184.0,2,1.3,20,2004,3,1,0,Unfurnished,OldTown,7,1,518200.0,237.27106227106228,1.5384615384615383,Moderate
9,1565.0,3,2.1,23,2001,3,2,1,Fully Furnished,Riverside,7,3,640900.0,409.52076677316296,1.4285714285714286,Moderate
10,2071.0,3,2.4,30,1994,2,0,2,Fully Furnished,Downtown,0,3,503400.0,243.07098020280057,1.25,Moderate
11,1568.0,2,1.7,87,1937,1,1,2,Fully Furnished,Lakeside,6,2,327900.0,209.11989795918367,1.1764705882352942,Very Old
12,1567.0,3,2.6,76,1948,1,1,0,Unfurnished,Downtown,0,2,310700.0,198.2769623484365,1.1538461538461537,Very Old
13,1921.0,2,2.4,7,2017,3,2,1,Semi-Furnished,Northside,0,3,587500.0,305.8302967204581,0.8333333333333334,Recent
14,843.0,3,1.7,10,2014,3,2,0,Unfurnished,OldTown,4,2,241500.0,286.47686832740214,1.7647058823529411,Recent
